,Unnamed: 0,Name,Keywords (10),Top Keywords List,Top Keywords,region,Price_range,lun_di,save,Category,Category_1,Location_y,Location_1,Label,Rating,Review,avg_lunch,avg_dinner,min_lunch,max_lunch,min_dinner,max_dinner,region_1
91,91,온류,"메뉴, 음식, 파스타, 김밥, 분위기, 식사, 육회, 한식, 맛있었어요, 문어","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은",서울특별시 성동구 서울숲2길,점심 저녁 동일가 1 - 3만원,점심,"3,800",한식,한식,서울숲,성동구,예약,4.8,243,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서울특별시 성동구 서울숲2길
92,92,온슬,"맛있어요, 음식, 분위기, 성수, 파스타, 메뉴, 친구, 온슬, 맛있어서, 새우","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은",서울특별시 성동구 연무장7가길,점심 영업안함 · 저녁 2 - 3만원,저녁,884,"회,사시미",일식,성수,성동구,예약,4.3,71,영업안함,25000.0,,,20000.0,30000.0,서울특별시 성동구 연무장7가길
93,93,올드핸즈,"스테이크, 애플파이, 디저트, 샐러드, 예약, 시간, 최고, 음식, 준비, 고기",['추천하는'],추천하는,서울특별시 성동구 금호로,점심 저녁 동일가 1 - 3만원,저녁,"4,256","스테이크,립",양식,금호,성동구,예약,4.9,397,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서울특별시 성동구 금호로
94,94,와이즈오렌지(The wise orange),"분위기, 음식, 좋고, 와인, 메뉴, 스테이크, 맛있었어요, 파스타, 맛있게, 서비스","['서비스 좋은', '주류', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 주류, 음식이 맛있는, 분위기 좋은",서울특별시 성동구 독서당로39길,점심 저녁 동일가 1 - 3만원,점심,"1,089",양식,양식,옥수,성동구,예약,4.7,104,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서울특별시 성동구 독서당로39길
95,95,요시 성수,"함바, 맛있어요, 일본, 소스, 육즙, 직원, 함박, 고기, 맛있게, 맛있는","['친절한', '음식이 맛있는']","친절한, 음식이 맛있는",서울특별시 성동구 서울숲6길,점심 저녁 동일가 1 - 4만원,점심,639,일식,일식,서울숲,성동구,웨이팅,4.0,99,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,서울특별시 성동구 서울숲6길
96,96,우바(UVA) 성수,"피자, 분위기, 서울숲, 와인, 파스타, 성수, 좋은, 메뉴, 음식, 맛집","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은",서울특별시 성동구 서울숲2길,점심 저녁 동일가 1 - 4만원,점심,"1,321",이탈리아음식,양식,서울숲,성동구,예약,4.7,106,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,서울특별시 성동구 서울숲2길
97,97,원기옥,"메뉴, 음식, 좋은, 모시, 부모님, 가족, 모임, 예약, 주문, 차림",['특별한 날'],특별한 날,서울특별시 성동구 아차산로17길,점심 저녁 동일가 1 - 3만원,저녁,"3,610",한식,한식,성수,성동구,예약,4.5,449,50000.0,50000.0,10000.0,90000.0,10000.0,90000.0,서울특별시 성동구 아차산로17길
98,98,유어네이키드치즈 성수점,"치즈, 와인, 플래터, 분위기, 메뉴, 추천, 친구, 좋아요, 기분, 음식","['주류', '분위기 좋은', '추천하는']","주류, 분위기 좋은, 추천하는",서울특별시 성동구 왕십리로10길,점심 저녁 동일가 2 - 5만원,저녁,"3,475",와인,주류,성수,성동구,예약,4.7,236,35000.0,35000.0,20000.0,50000.0,20000.0,50000.0,서울특별시 성동구 왕십리로10길
99,99,이오로비스트로 성수점,"파스타, 음식, 맛있었어요, 메뉴, 명란, 토마, 매콤, 마키, 후토, 맛있게",['음식이 맛있는'],음식이 맛있는,서울특별시 성동구 연무장5길,점심 저녁 동일가 1 - 3만원,점심,927,퓨전음식,퓨전,성수,성동구,예약,4.2,96,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서울특별시 성동구 연무장5길
100,100,이와자루,"음식, 좋은, 분위기, 추천, 메뉴, 안주, 직원, 자루, 최고, 가도","['친절한', '분위기 좋은', '추천하는']","친절한, 분위기 좋은, 추천하는",서울시 성동구 연무장,점심 영업안함 · 저녁 1 - 3만원,저녁,754,이자카야,일식,성수,성동구,예약,5.0,77,영업안함,20000.0,,,10000.0,30000.0,서울시 성동구 연무장
101,101,정이담,"음식, 직원, 맛있고, 식사, 예약, 메뉴, 좋은, 가족, 맛있게, 좋고","['친절한', '음식이 맛있는']","친절한, 음식이 맛있는",서울특별시 성동구 왕십리로,점심 저녁 동일가 1 - 4만원,점심,226,한식,한식,서울숲,성동구,웨이팅,3.7,70,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,서울특별시 성동구 왕십리로
102,102,정이담,"음식, 직원, 맛있고, 식사, 예약, 메뉴, 좋은, 가족, 맛있게, 좋고","['친절한', '음식이 맛있는']","친절한, 음식이 맛있는",서울특별시 성동구 왕십리로,점심 저녁 동일가 1 - 4만원,점심,226,한식,한식,서울숲,성동구,예약,3.7,70,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,서울특별시 성동구 왕십리로
103,103,정이담,"음식, 직원, 맛있고, 식사, 예약, 메뉴, 좋은, 가족, 맛있게, 좋고","['친절한', '음식이 맛있는']","친절한, 음식이 맛있는",서울특별시 성동구 왕십리로,점심 저녁 동일가 1 - 4만원,점심,226,한식,한식,서울숲,성동구,예약-웨이팅,3.7,70,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,서울특별시 성동구 왕십리로
