Name,Category_Location,Rating,Review,Description,Price_Range
푸푸딩,케이크 • 신촌,5.0,(2),정성스럽게 만든 부드러운 신촌 커스타드 푸딩 맛집,픽업가 1 - 2만원
패션5,케이크 • 한남,4.2,(8),"대한민국 최고의 원료와 기술, 열정으로 만들어 낸 찬란한 디저트의 향연",픽업가 1 - 8만원
라니케이크,케이크 • 양재,NA,NA,"14글자로 전하는 당신의 마음, 당일 레터링케이크!",픽업가 2 -  4만원
블랑제리 더 플라자,케이크 • 시청,5.0,(2),더 플라자 호텔의 모던 프렌치 베이커리&카페,픽업가 5 - 8만원
레인리포트 브리티시 PICK UP,"카페,디저트 • 연남",NA,NA,화이트데이만을 위한 특별한 예약예약기간 : 3월 7일~3월 11일픽업기간 : 3월 13일~3월 17일,픽업가 1만원 미만
크렘드슈망,케이크 • 논현,4.6,(3),"생화로 장식된, 맛있고 건강한 케이크. 동물성 생크림과 서울우유버터, 크림치즈와 마스카포네를 사용합니다. 인근에서 꽃집을 별도로 운영중인 대표가 매일 직접 사입해오는 생화로 케이크를 보다 다채롭게 장식해 드려요.",픽업가 5 - 8만원
골든피스 더현대서울 팝업스토어,"카페,디저트 • 여의도",NA,NA,한국의 전통 과자를 재해석한 프리미엄 약과,픽업가 5.6만원
콘래드서울 플레임즈,케이크 • 여의도,4.2,(12),콘래드 호텔 파티셰의 개성과 자부심이 담겨있는 럭셔리한 시그니처 케이크들을 경험 해 보세요.,픽업가 6 - 8만원
얀 쿠브레 여의도점,케이크 • 여의도,NA,NA,"파리가 사랑하는 여우,  프랑스에서 가장 핫한 디저트 브랜드",픽업가 3 - 7만원
르와지르,"카페,디저트 • 건대",NA,NA,휘낭시에 전문점,픽업가 1만원 미만
잇더케이크,케이크 • 방배,NA,NA,세상에 하나 뿐인 케이크로 더욱 특별한 하루를 보내세요.,픽업가 4 - 12.5만원
얀 쿠브레 동교점,케이크 • 홍대,5.0,(1),"파리가 사랑하는 여우,  프랑스에서 가장 핫한 디저트 브랜드",픽업가 3 - 5만원
반반 케이크(vanvan cake),케이크 • 양재,NA,NA,계절의 다채로운 맛과 색을 디자인하는 맞춤형 케이크,픽업가 5 - 7만원
오도브 비건케이크,케이크 • 오금,5.0,(7),비건쌀케이크로 유명한 글루텐프리 디저트카페,픽업가 5 - 7만원
JW 메리어트 호텔 서울 파티세리 (Patisserie),"카페,디저트 • 반포",NA,NA,정교한 최고급 케이크 메뉴를 만나볼 수 있는 페이스트리 부티크,케이크 6 - 11만원
키킥 서울 구의,"카페,디저트 • 구의",NA,NA,까눌레 전문점 키킥 서울,픽업가 1.2만원
푸드떼_Pick Up,"카페,디저트 • 북촌",NA,NA,롯데 본점에서 푸드떼 설 선물세트 현장 구매 가능합니다.,픽업가 4 - 7만원
타르틴베이커리 도산점,케이크 • 도산공원,5.0,(1),"ALL DAY 브런치델리, 디너와 베이커리를 함께 할 수 있는 공간",픽업가 2 -5 만원
어글리퍼피,"카페,디저트 • 압구정로데오",NA,NA,"유럽풍의 가정식 패스츄리, 디저트",픽업가 3만원
서울 베이킹 컴퍼니 / JW 메리어트 동대문 스퀘어 서울,케이크 • 동대문,4.8,(1),"LL층에 위치한 서울 베이킹 컴퍼니는 매일 아침 갓 구운 신선한 페이스트리와 그윽한 향의 커피, 특별한 날을 위한 케이크, 초콜릿은 물론 세계 각국의 프리미엄 와인 및 치즈 등 엄선된 아이템을 제공합니다.",픽업가 7 - 9만원
까치화방 강남,케이크 • 강남,NA,NA,"[Every sweet moment, luck begins!] 모든 순간에 달콤함과 행운이 스며드는 곳 cake & flower cafe",픽업가 2-9만원
난로 인사이트 2024,,4.3,(5),미식의 미래: 한식(HANSIK)을 말하다,점심 가격변동 · 저녁 가격변동
노티드 잠실롯데월드몰,"카페,디저트 • 잠실",3.9,(48),"노티드는 다양한 도넛과 케이크를 함께 즐길 수 있는 프리미엄 디저트 카페로, 시그니처인 크림이 가득한 도넛과 귀여운 패키징으로 방문해주시는 모든 고객님들께 행복을 선사합니다.",픽업가 2 - 4만원
노티드 여의도 IFC카페,케이크 • 여의도,4.1,(7),우유생크림 도넛이 시그니처인 프리미엄 디저트 카페,픽업가 2 - 4만원
카페 하이웨스트 익선점 (당일픽업),"카페,디저트 • 익선",4.8,(103),따스한 햇살과 함께 빈티지한 소품들이 공간 전체와 어우러진 영화 속에 들어온듯한 공간의 카페,픽업가 1만원 미만
유이케이크,케이크 • 상왕십리,4.9,(11),v 100% 국산쌀가루 v 100% 동물성생크림 v 서울우유버터 v 글루텐프리제품사용  🎈최상의 재료로 최고의 정성을 담아 만들어 더 맛있고 예쁜 쌀빵케이크🎂,픽업가  3 - 7만원
리틀바잇모어(LBM)_cakes,케이크 • 서울숲,NA,NA,"직접 제조하는 재료의 디저트와 케이크로, 여러분들이 매일 먹는 작은 즐거움을 선사합니다. 맛있고 건강한 재료를 사용하여,여러분들의 일상을 더욱 특별하게 만들어드릴게요.",픽업가 2 - 60만원
카페 레이어드 연남점 (당일 픽업),"카페,디저트 • 연남",4.8,(28),"유럽의 한 가정집의 따스함, 찰나의 스치는 런던과 파리의 빈티지한 무드를 담은 카페",디저트 1만원 미만
노티드 안국,케이크 • 안국,4.6,(22),우유생크림 도넛이 시그니처인 프리미엄 디저트 카페,픽업가 2 - 4만원
