Name,Rating,Review,Description,Price_Range,Label,Category,Location
키키,4.8,42,다양한 요리와 함께 기뻐하고 즐거워할 수 있는 공간,점심 저녁 동일가 1 - 3만원,1,이자카야,성수
모티에,4.7,39,편안한 한국 음식과 술 마시기 좋은 모던 한식 다이닝바,점심 저녁 동일가 1 - 3만원,1,한식,도곡
머.구리(muh.guri),4.9,184,압구정 분위기 맛집! 브런치&다이닝&와인바,점심 저녁 동일가 1 - 3만원,1,브런치,압구정로데오
에이머 (Aimer),4.5,28,직접 빚은 뇨끼 & 파스타와 와인을 즐기는 편안하고 특별한 이탈리아 레스토랑,점심 저녁 동일가 1 - 3만원,1,다이닝바,교대
금은돈 양재점,4.5,47,"프리미엄 돼지고기집이지만 합리적인 가격에 숯향, 육즙 가득한 고기를 드실 수 있도록 준비한 식당",점심 영업안함 · 저녁 1 - 3만원,1,돼지고기구이,양재
평정원,4.7,20,"옛날 조선시대, 신비로운 신령들이 살던 비밀 정원을 개방하기로 결심했습니다.  한식을 베이스로 재해석한 다채로운 안주들과 과거와 현재를 관통하는 분위기 속에서 소중한 시간이 되시길 소망합니다.",점심 영업안함 · 저녁 1 - 3만원,1,요리주점,건대
The 맛있는 곱창,5.0,1,와인과 곱창이 있는 The 맛있는 곱창,점심 영업안함 · 저녁 1 - 3만원,1,"곱창,막창",잠실
우라 성수점,4.5,4,쿠시카츠와 다양한 사이드 메뉴를 즐길 수 있는 이자카야,점심 영업안함 · 저녁 1 - 3만원,1,이자카야,성수
멜라 홍대점,4.7,36,"감각적인 이야기가 있는  브런치, 커피, 와인을 여유롭게 즐길 수 있는 유럽 가정식 브런치 카페 입니다.",점심 저녁 동일가 1 - 3만원,1,브런치,홍대
동선방,4.9,23,편안한 다이닝과 다정한 대화를 위한 동선동의 사랑방,점심 영업안함 · 저녁 1 - 3만원,1,다이닝바,동선
라디오헤드펍,5.0,7,"최고의 분위기, 술, 음악 그리고 맛있는 음식들이 준비되어 있습니다.",점심 영업안함 · 저녁 1 - 3만원,1,다이닝바,잠실
마라쿠시,4.8,26,남산뷰를 즐기며 중화요리와 바이주(고량주)를 페어링하는 이자카야 형태의 중식 선술집,점심 저녁 동일가 1 - 3만원,1,중식,삼각지
직화싸롱,4.9,8,불향 가득 맛있게 매운 직화요리와 철판요리를 편하게 드실 수 있는 공간,점심 저녁 동일가 1 - 3만원,1,해물(탕/찜/볶음),여의도
면서울,4.5,33,미쉐린1스타 김도윤 셰프의 자가제면,점심 저녁 동일가 1 - 3만원,1,한식,압구정로데오
꺼꾸잽이 초장집 강남역점,5.0,2,당일 조업한 싱싱한 자연산 횟감을 당일에 즐기기 좋은 포차감성의 횟집,점심 영업안함 · 저녁 1 - 3만원,1,일식,강남
와인포럼,4.8,21,신중하게 조합된 와인 컬렉션과 신선한 재료를 바탕으로 풍부한 맛을 자랑하는 음식의 조화를 느낄 수 있는 와인복합문화공간,점심 저녁 동일가 1 - 3만원,1,와인,서래마을
임금돼지 잠실,4.9,32,<솔잎훈연> 하이앤드 특수품종 YBD금돼지 전문점,점심 저녁 동일가 1 - 3만원,1,돼지고기구이,석촌
녹사 다이닝,5.0,10,분위기와 뷰 모두 근사한 양식 다이닝,점심 저녁 동일가 1 - 3만원,1,유러피안음식,이태원
잇포 서울,4.8,7,2주마다 메뉴가 바뀌는 귀여운 가게,점심 영업안함 · 저녁 1 - 3만원,1,이자카야,강서
코너스토어,4.7,18,유럽의 맛을 그대로 재현한 양식 전문점,점심 저녁 동일가 1 - 3만원,1,이탈리아음식,회현
예맥관,4.4,12,"숙성 우리흑돈 미식경험, 숯불구이 전문점",점심 저녁 동일가 1 - 3만원,1,돼지고기구이,종로
하리,4.8,29,점심에는 피타샌드위치 저녁엔 와인바를 운영하는 다이닝,점심 1 - 2만원 · 저녁 1 - 3만원,1,와인,삼각지
초대창 잠실새내점,4.8,1,고소하고 쫄깃한 양대창을 잠실새내점에서 만나보세요!,점심 영업안함 · 저녁 1 - 3만원,1,"곱창,막창",잠실새내
뉴질랜드스토리,4.7,22,"석촌호수 15년 전통의 브런치 맛집. 천연 향신료로 맛을 내어 건강하고 맛있는 음식. 해산물스튜와 닭갈비 플래터, 계절별 샌드위치와 샐러드 플래터, 다양한 음료를 선보이는 곳",점심 저녁 동일가 1 - 3만원,1,브런치,잠실
매치스 성수,4.8,178,"윌로뜨 이승준 셰프 본인이 가고 싶어 프랑스,스페인의 감성을 오롯이 담아낸 러스틱한 요리와 합리적인 가격으로 선셋까지 아름다운 7층에 오픈한 성수 와인바.",점심 영업안함 · 저녁 1 - 3만원,1,와인,성수
아따(ADDA) 한식주점 [압구정점],5.0,114,한식을 재해석한 다양한 메뉴들과 전통주가 함께하는 컨템포러리 한식 다이닝 바. 트렌디 하지만 깊이있는 음식과 술을 통해 색다른 미식의 세계를 경험하세요.,점심 영업안함 · 저녁 1 - 3만원,1,한식,압구정로데오
선셋포인트,5.0,2,서울에서 즐기는 휴양지 분위기의 라운지바,점심 영업안함 · 저녁 1 - 3만원,1,"칵테일,위스키",장안
리틀 올리브,4.9,75,성내동 조용한 주택가에 위치한 아담한 공간에서 즐기는 정통 스페니쉬와 이탈리안푸드! 발렌시아에서 배워 재해석한 정통 스페인음식과 어우러지는 파스타를 선보입니다.,점심 영업안함 · 저녁 1 - 3만원,1,스페인음식,성내
우노와인,4.7,30,다양한 음식과 와인을 곁들이며 좋아하는 사람들과 행복한 시간을 보낼 수 있는 감각적인 공간,점심 영업안함 · 저녁 1 - 3만원,1,와인,성신여대
더스테이크 쥬벤쿠바,4.7,9,아메리칸 스타일의 음식과 고급스럽고 힙한 분위기를 즐길 수 있는 공간,점심 저녁 동일가 1 - 3만원,1,아메리칸음식,연남
프로젝디,4.6,65,동대문 프로젝디 서울펍 루프탑 근사한 술집,토/일 런치운영 / 대관 및 단체 전화예약가능 · 저녁 1 - 3만원,1,"맥주,호프",동대문
uptempo,4.7,37,서울 하늘과 남산타워를 한눈에 즐기는 cafe & bar,점심 저녁 동일가 1 - 3만원,1,다이닝바,경리단길
잠연,4.0,2,삼각지역 숨겨진 로컬맛집 한식요리와 다양한 전통주를 만날 수 있는 아늑한 바,점심 영업안함 · 저녁 1 - 3만원,1,전통주,삼각지
p.lot(플롯),5.0,3,"낮에는 커피와 디저트 저녁에는 칵테일, 위스키, 와인 등 다양한 주류와 디쉬를 즐길 수 있는 공간 p.lot입니다.",점심 1 - 2만원 · 저녁 1 - 3만원,1,"칵테일,위스키",신당
수랑화,4.5,186,"수랑화의 음식들은 한국식 전골,샤브 그리고 갓 지어낸 솥밥으로 물과 불의 균형과 조화로움이 돋보이는 음식입니다.",점심 저녁 동일가 1 - 3만원,1,샤브샤브,옥수
로쏘1924 나폴리 화덕피자,4.1,9,이탈리아 정부 선정 오스피탈리타 이탈리아나 2024~2025레스토랑,점심 저녁 동일가 1 - 3만원,1,피자,홍대
미스뱅콕,4.5,6,현지에서 직접 공수한 재료로 미스방콕 출신쉐프가 직접 요리하는 전통 태국음식 다이닝,점심 저녁 동일가 1 - 3만원,1,태국음식,마곡
위어도우 (Weirdough),4.9,85,식물성 화덕피자와 다양한 구이 요리를 통해 여러가지 채소의 풍성한 맛을 경험할 수 있는 공간,점심 영업안함 · 저녁 1 - 3만원,1,피자,연희
안주집,4.9,3,한식 기반의 색다른 퓨전요리와 다양한 술이 있는 공간,점심 저녁 동일가 1 - 3만원,1,요리주점,가로수길
솔솥 송리단길,4.5,29,프리미엄 솥밥으로 맛있는 음식과 소중한 추억을 남길 수 있는 공간,점심 저녁 동일가 1 - 3만원,1,한식,송파
냠냠족발&보쌈강남논현본점,5.0,3,당일 삶은 앞다리를 사용하는 가성비 좋은 족발 맛집,점심 영업안함 · 저녁 1 - 3만원,1,"보쌈,족발",강남
한나 성수점,4.8,25,"한식에 양식 터치를 더해 와인과 하이볼, 소주, 음악이 페어링된 뉴 코리안 캐주얼다이닝",점심 영업안함 · 저녁 1 - 3만원,1,한식,성수
티에이티디,5.0,2,"힙합 음악이 나오는 문래 창작촌의 위스키, 칵테일바",점심 영업안함 · 저녁 1 - 3만원,1,"칵테일,위스키",문래
페페네로,4.9,74,화덕피자가 유명하지만 파스타도 만만치 않은 이탈리안 레스토랑,점심 저녁 동일가 1 - 3만원,1,이탈리아음식,마곡
동묘 마케트,4.9,6,"부담없는 가격에, 자신이 원하는 타입의 와인을 마음대로 골라서 편하게 마실 수 있는 가게",점심 영업안함 · 저녁 1 - 3만원,1,와인,종로
구주 잠실새내점,4.5,2,맛과 감성까지 잡을 수 있는 잠실새내 이자카야,점심 영업안함 · 저녁 1 - 3만원,1,이자카야,잠실새내
하기당,5.0,20,"일본요리와 음악, 사케 등의 주류를 함께 즐기는 분위기 좋은 재패니즈 다이닝바",점심 영업안함 · 저녁 1 - 3만원,1,이자카야,연신내
고우 서초점,4.9,10,감성있는 공간에서 즐기는 다양한 메뉴들이 있는 이자카야,점심 영업안함 · 저녁 1 - 3만원,1,이자카야,서초
단테바,5.0,8,익선동 골목 작은 파리,점심 영업안함 · 저녁 1 - 3만원,1,와인,익선
따롱이훠궈 강남점,4.8,15,중국사 천성성도의 고풍스런 인테리어와 성도 본토의 정통훠궈를 즐길 수 있는 레스토랑,점심 저녁 동일가 1 - 3만원,1,중식,강남
