,Unnamed: 0,Name,Rating,Review,Description,Price_Range,Label,Category,Location,Location_1,Category_1,점심,저녁,픽업,min,max
1386,1386,이자카야나무 시청점,4.5,16,프라이빗룸과 일식전문 요리사들의 맛있는 요리와 서비스를 제공하는 이자카야,점심 영업안함 · 저녁 1 - 3만원,예약,이자카야,시청,중구,일식,영업안함,1 - 3만원,,1,3
1387,1387,이자카야나무 대치점,5.0,2,정갈한 음식과 정겨운 술 한잔이 있는 이자카야,점심 저녁 동일가 1 - 3만원,예약,이자카야,대치,강남구,일식,1 - 3만원,1 - 3만원,,1,3
1388,1388,베베르카,4.7,138,"낮에는 모던하고 세련된 브런치 카페, 저녁에는 멋진 바이브의 와인 앤 다이닝 플레이스 Allday brunch & diner place",점심 저녁 동일가 1 - 3만원,예약,브런치,한남,용산구,양식,1 - 3만원,1 - 3만원,,1,3
1389,1389,폭폭(POKPOK),4.9,78,구)비스트로폭폭(이탈리안레스토랑)현)폭폭 POKPOK(한식주점)폭폭하다 : 몹시 상하거나 불끈불끈 화가 치미는 듯하다.기분이 폭폭하신분들에게 맛있는 시간을 판매합니다.,점심 저녁 동일가 1 - 3만원,예약,한식,성수,성동구,한식,1 - 3만원,1 - 3만원,,1,3
1390,1390,옥소반 잠실새내점,4.5,70,"스키야키의 대중화를 지향하는 스키야키, 샤브샤브 전문점",점심 1 - 2만원 · 저녁 1 - 3만원,예약,샤브샤브,잠실,송파구,한식,1 - 2만원 ·  1 - 3만원,1 - 2만원 -  1 - 3만원,,1,2
1391,1391,오이노스 OINOS,4.8,22,캐주얼 와인바,점심 저녁 동일가 1 - 3만원,예약,양식,성수,성동구,양식,1 - 3만원,1 - 3만원,,1,3
1392,1392,잊힐리야 연남,4.9,22,"연남에서의 잊을 수 없는 오늘을 선물합니다. 테라스에서 즐기는 다양한 전통주, 한식주점",점심 영업안함 · 저녁 1 - 3만원,예약,요리주점,연남,마포구,주류,영업안함,1 - 3만원,,1,3
1393,1393,쿠히치 연남점,4.5,37,"점심은 일식당, 저녁에는 이자카야",점심 저녁 동일가 1 - 3만원,예약,일식,연남,마포구,일식,1 - 3만원,1 - 3만원,,1,3
1394,1394,이자카야나무 구로디지털단지점,4.5,9,300석 구디 핫플레이스 이자카야,점심 영업안함 · 저녁 1 - 3만원,예약,이자카야,구로,구로구,일식,영업안함,1 - 3만원,,1,3
1395,1395,일양전,4.9,153,계절감 뚜렷하고 신선한 식재료로 만드는 이야기가 있는 이자카야,점심 영업안함 · 저녁 1 - 3만원,예약,일식,건대,광진구,일식,영업안함,1 - 3만원,,1,3
1396,1396,프랭클린스 델리,4.9,32,저희는 아메리칸 델리를 표방하는 프랭클린스델리입니다.매일 아침마다 장작화덕에 직접 만든 햄들과 신선한 재료들을 직접 손질하여 하루 동안 나갈 메뉴들을 준비합니다.10명 이상의 단체 주문은 매장으로 직접 전화를 주시면 자세하게 안내드리겠습니다.,점심 저녁 동일가 1 - 3만원,예약,아메리칸음식,연남,마포구,양식,1 - 3만원,1 - 3만원,,1,3
1397,1397,이자카야나무 동여의도점,4.3,18,300석 샛강역 kbs 별관인근 단체회식이 가능한 이자카야,점심 영업안함 · 저녁 1 - 3만원,예약,이자카야,여의도,영등포구,일식,영업안함,1 - 3만원,,1,3
1398,1398,도산정육블랙 청담본점,4.3,104,압구정로데오 하이엔드 교차숙성 제주근고기 전문점프라이빗한 룸으로만 이루어진 룸 전용 고기집,점심 영업안함 · 저녁 1 - 3만원,예약,돼지고기구이,청담,강남구,한식,영업안함,1 - 3만원,,1,3
1399,1399,도톤보리서울,4.4,166,일본 요리학교 출신 쉐프님의 수준높고 다채로운 일식을 제공해드리는 공간,점심 영업안함 · 저녁 1 - 3만원,예약,이자카야,신사,강남구,일식,영업안함,1 - 3만원,,1,3
1400,1400,게뜨망하우스,4.5,56,"Everyday Happy Brunch :)자꾸 생각나는 브런치, 기분이 좋아지는 브런치오늘 먹고 내일 또 먹어도 질리지 않는 브런치를 만들어요.🔅영업시간수-일요일 10:30 ~ 19:30",점심 저녁 동일가 1 - 3만원,예약,브런치,망원,마포구,양식,1 - 3만원,1 - 3만원,,1,3
1401,1401,히소카,4.8,143,오사카 시장에 있는 노포 스타일의 이자카야,점심 영업안함 · 저녁 1 - 3만원,예약,이자카야,문래,영등포구,일식,영업안함,1 - 3만원,,1,3
1402,1402,야키토리 코치,4.7,92,야키토리는 사랑입니다. 사랑하는 연인과 가족 그리고 친구와 즐기세요... -통닭맨-,점심 영업안함 · 저녁 1 - 3만원,예약,야키토리,영등포,영등포구,일식,영업안함,1 - 3만원,,1,3
1403,1403,체체,5.0,45,금호의 작은 이탈리안 와인바,점심 영업안함 · 저녁 1 - 3만원,예약,와인,금호,성동구,주류,영업안함,1 - 3만원,,1,3
1404,1404,초이다이닝 강남점,4.0,31,후토마끼가 시그니처인 퓨전일식 다이닝,점심 저녁 동일가 1 - 3만원,예약,일식,강남,강남구,일식,1 - 3만원,1 - 3만원,,1,3
1405,1405,도단집,4.8,22,72시간 숙성 돼지고기와 급냉 삼겹살의 성지 도단집,점심 영업안함 · 저녁 1 - 3만원,예약,돼지고기구이,건대,광진구,한식,영업안함,1 - 3만원,,1,3
1406,1406,몽크스부처 도산,4.8,145,캐쥬얼 비건 레스토랑 몽크스부처,점심 저녁 동일가 1 - 3만원,예약,베지테리안/비건,도산공원,강남구,양식,1 - 3만원,1 - 3만원,,1,3
1407,1407,칠리,4.6,36,미국음식의 편견을 깨는 칠리의 속 편한 소울푸드,점심 저녁 동일가 1 - 3만원,예약,아메리칸음식,회현,중구,양식,1 - 3만원,1 - 3만원,,1,3
1408,1408,미앙,4.4,31,압구정 안다즈 호텔 내에 위치한 타이푸드와 와인이 어우러진 공간,점심 저녁 동일가 1 - 3만원,예약,태국음식,압구정,강남구,아시아음식,1 - 3만원,1 - 3만원,,1,3
1409,1409,슬로우파머스,5.0,183,따스한 분위기에서 강아지 쵸파와 함께 제철음식과 와인을 합리적인 가격으로 즐길 수 있는 1인 쉐프의 예약제 공간,점심 영업안함 · 저녁 1 - 3만원,예약,와인,용산,용산구,주류,영업안함,1 - 3만원,,1,3
1410,1410,하이,4.8,22,안주가 다 맛있는 와인 한잔 하기 좋은 목동 캐쥬얼 와인바,점심 영업안함 · 저녁 1 - 3만원,예약,와인,목동,양천구,주류,영업안함,1 - 3만원,,1,3
1411,1411,찢은고기,4.9,16,미국 현지에서 직접 만들던 부드러운 바베큐와가성비 좋은 와인&위스키 그리고 하이볼소중한 사람들과 아지트로 삼고 싶은 캐주얼 다이닝,점심 영업안함 · 저녁 1 - 3만원,예약,바베큐,문래,영등포구,양식,영업안함,1 - 3만원,,1,3
1412,1412,엘리트서울 (Elite Seoul),4.8,71,이태원이 한눈에 내려다 보이는 아름다운 뷰와유럽풍의 아늑한 분위기에 감성 와인바,점심 영업안함 · 저녁 1 - 3만원,예약,와인,이태원,용산구,주류,영업안함,1 - 3만원,,1,3
1413,1413,우월,5.0,1,"따뜻한 분위기와 맛있는 술, 즐거운 술 이야기가 있는 우월",점심 영업안함 · 저녁 1 - 3만원,예약,"칵테일,위스키",이태원,용산구,주류,영업안함,1 - 3만원,,1,3
1414,1414,미나리밭 오리사냥 강남역점,4.7,69,웨이팅 필수! 서울 1등 오리고기 맛집 (포장가능),점심 저녁 동일가 1 - 3만원,예약,"닭,오리요리",강남,강남구,한식,1 - 3만원,1 - 3만원,,1,3
1415,1415,그로어스 잠실석촌호수점,4.2,74,"하트시그널에도 소개된 미슐랭 쉐프의 다이닝, 연희동 브런치 카페",점심 저녁 동일가 1 - 3만원,예약,브런치,잠실,송파구,양식,1 - 3만원,1 - 3만원,,1,3
1416,1416,독주,4.5,2,맛있는 음식과 독보적인 사운드로 완성되는 하이볼 맛집,점심 영업안함 · 저녁 1 - 3만원,예약,"칵테일,위스키",신당,중구,주류,영업안함,1 - 3만원,,1,3
1417,1417,번번 (BURN BUN),4.9,13,특별한 음식과 편안한 분위기의 모던 와인바.              3~4인 예약 문의는 전화 부탁드립니다,점심 영업안함 · 저녁 1 - 3만원,예약,양식,이수,동작구,양식,영업안함,1 - 3만원,,1,3
1418,1418,미토,4.6,207,잘 숙성된 제철 사시미와 다양한 수제 요리가 있는 이자카야,점심 영업안함 · 저녁 1 - 3만원,예약,이자카야,신용산,용산구,일식,영업안함,1 - 3만원,,1,3
1419,1419,키키,4.8,42,다양한 요리와 함께 기뻐하고 즐거워할 수 있는 공간,점심 저녁 동일가 1 - 3만원,예약,이자카야,성수,성동구,일식,1 - 3만원,1 - 3만원,,1,3
1420,1420,모티에,4.7,39,편안한 한국 음식과 술 마시기 좋은 모던 한식 다이닝바,점심 저녁 동일가 1 - 3만원,예약,한식,도곡,강남구,한식,1 - 3만원,1 - 3만원,,1,3
1421,1421,머.구리(muh.guri),4.9,184,압구정 분위기 맛집! 브런치&다이닝&와인바,점심 저녁 동일가 1 - 3만원,예약,브런치,압구정로데오,강남구,양식,1 - 3만원,1 - 3만원,,1,3
1422,1422,에이머 (Aimer),4.5,28,직접 빚은 뇨끼 & 파스타와 와인을 즐기는 편안하고 특별한 이탈리아 레스토랑,점심 저녁 동일가 1 - 3만원,예약,양식,교대,서초구,양식,1 - 3만원,1 - 3만원,,1,3
1423,1423,금은돈 양재점,4.5,47,"프리미엄 돼지고기집이지만 합리적인 가격에 숯향, 육즙 가득한 고기를 드실 수 있도록 준비한 식당",점심 영업안함 · 저녁 1 - 3만원,예약,돼지고기구이,양재,서초구,한식,영업안함,1 - 3만원,,1,3
1424,1424,평정원,4.7,20,"옛날 조선시대, 신비로운 신령들이 살던 비밀 정원을 개방하기로 결심했습니다.  한식을 베이스로 재해석한 다채로운 안주들과 과거와 현재를 관통하는 분위기 속에서 소중한 시간이 되시길 소망합니다.",점심 영업안함 · 저녁 1 - 3만원,예약,요리주점,건대,광진구,주류,영업안함,1 - 3만원,,1,3
1425,1425,The 맛있는 곱창,5.0,1,와인과 곱창이 있는 The 맛있는 곱창,점심 영업안함 · 저녁 1 - 3만원,예약,"곱창,막창",잠실,송파구,한식,영업안함,1 - 3만원,,1,3
1426,1426,우라 성수점,4.5,4,쿠시카츠와 다양한 사이드 메뉴를 즐길 수 있는 이자카야,점심 영업안함 · 저녁 1 - 3만원,예약,이자카야,성수,성동구,일식,영업안함,1 - 3만원,,1,3
1427,1427,멜라 홍대점,4.7,36,"감각적인 이야기가 있는  브런치, 커피, 와인을 여유롭게 즐길 수 있는 유럽 가정식 브런치 카페 입니다.",점심 저녁 동일가 1 - 3만원,예약,브런치,홍대,마포구,양식,1 - 3만원,1 - 3만원,,1,3
1428,1428,동선방,4.9,23,편안한 다이닝과 다정한 대화를 위한 동선동의 사랑방,점심 영업안함 · 저녁 1 - 3만원,예약,양식,동선,성북구,양식,영업안함,1 - 3만원,,1,3
1429,1429,라디오헤드펍,5.0,7,"최고의 분위기, 술, 음악 그리고 맛있는 음식들이 준비되어 있습니다.",점심 영업안함 · 저녁 1 - 3만원,예약,한식,잠실,송파구,한식,영업안함,1 - 3만원,,1,3
1430,1430,마라쿠시,4.8,26,남산뷰를 즐기며 중화요리와 바이주(고량주)를 페어링하는 이자카야 형태의 중식 선술집,점심 저녁 동일가 1 - 3만원,예약,중식,삼각지,용산구,중식,1 - 3만원,1 - 3만원,,1,3
1431,1431,직화싸롱,4.9,8,불향 가득 맛있게 매운 직화요리와 철판요리를 편하게 드실 수 있는 공간,점심 저녁 동일가 1 - 3만원,예약,해물(탕/찜/볶음),여의도,영등포구,한식,1 - 3만원,1 - 3만원,,1,3
1432,1432,면서울,4.5,33,미쉐린1스타 김도윤 셰프의 자가제면,점심 저녁 동일가 1 - 3만원,예약,한식,압구정로데오,강남구,한식,1 - 3만원,1 - 3만원,,1,3
1433,1433,꺼꾸잽이 초장집 강남역점,5.0,2,당일 조업한 싱싱한 자연산 횟감을 당일에 즐기기 좋은 포차감성의 횟집,점심 영업안함 · 저녁 1 - 3만원,예약,일식,강남,강남구,일식,영업안함,1 - 3만원,,1,3
1434,1434,와인포럼,4.8,21,신중하게 조합된 와인 컬렉션과 신선한 재료를 바탕으로 풍부한 맛을 자랑하는 음식의 조화를 느낄 수 있는 와인복합문화공간,점심 저녁 동일가 1 - 3만원,예약,와인,서래마을,서초구,주류,1 - 3만원,1 - 3만원,,1,3
