,shop_name,shop_rating,r_num,Category,Location,region,Price_range,nickname,user_rating,lun_di,times,review,save
20,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,sao76,5.0 ,점심,2024.06.27,도쿄에서 3시간 웨이팅이라 포기했는데 ~ 서울 압구정동에서 먹을 수 있다니^~ 고기 냄새도 없고 육즙이 예술 흰쌀밥은 어쩜 이리 달콤한지 함박스테이크를 썩 좋아하지 않은데 매력에 푹 빠졌네요 지인들~ 다 데리고 또 가고 싶은곳이에요   ,"3,065"
21,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,썸원파이크,5.0 ,저녁,2024.06.27,200% 만족스러웠던 식사였어요. 지불한 비용이 아깝지 않았어요. 너무 맛있습니다!  ,"3,065"
22,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,강직한 맛사냥꾼_37037,5.0 ,,2024.04.13,"도쿄에서 가보고 싶었는데 못 가서 아쉬우던 찰나 한국에 들어왔다고해서 바로 와봤어요!  토요일 오전 10시 18분 도착해서 순서는 21번째였고 12시 54분에 입장 알림톡 받았어요. 점심 대기의 경우 태블릿으로 확인했을 때 10시 53분에 대기 마감된 것 같았습니다!  주문은 키오스크로 진행되고 좌석은 30석 정도? 있더라구요. 새로 생긴 곳이라 쾌적했습니다! 직원분들도 친절하셨구요. 일본 분들이 많아서인지 잠시 일본에 온 것 같은 느낌도 들었어요 :)  고기는 육즙이 뚝뚝 흐를 정도로 정말 부드러웠고, 소스도 다양해서 먹는 재미가 있었어요. 밥이랑 날달걀도 제공해주셔서 계란간장밥도 맛있게 먹었습니다.  먹으면서 찾아보니 도산점은 한우, 일본에 있는 지점은 와규를 사용한다고 하던데 일본 지점도 더 궁금해졌어요!  다시 가기엔 웨이팅이 힘들 것 같지만.. 나중에 기회가 되면 다시 또 가고 싶네요!  ","3,065"
23,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,정종민의 식도락 여행,5.0 ,점심,2024.06.22,"일본에서 처음 먹어보고 맛있어서 한국 지점에도 여러번 왔는데, 일본만큼 퀄리티 유지도 잘되고 직원분들 친절해서 만족스러운 곳입니다. 앞으로도 지금처럼만 운영되면 좋겠어요  ","3,065"
24,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,소소ㅡ*,5.0 ,저녁,2024.06.11,도쿄에서 먹었던 그 맛을 압구정에서 ㅎㅎ좋았습니다 ~  ,"3,065"
25,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,자연산광어,5.0 ,저녁,2024.06.02,기대하고 갔는데 기대한만큼 좋았습니다^^♡ 우선 고기가 부드럽고 육즙이 한가득 느껴지는 맛이였습니다!! 함박스테이크에 약간의 간이 되어있기 때문에 소금+후추 살짝 찍어서 흰쌀밥이랑 먹는게 제일 좋았습니다.  중간 중간 먹었던 백김치도 굿굿^-^ (개인적으로 몇몇 소스들은 없어도 될 것 같았어요ㅠㅠㅎ 오히려 함바그 맛을 해치는 느낌...) 먹다가 맛있어서 바로 밥이랑 함바그 추가 주문해서 먹었어요 맛.있.어.서 3덩이는 아쉽더라구요 ㅋㅋㅋㅋㅋ 꼭 한번 가보세요 저희는 아주만족했어요 : )  ,"3,065"
26,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,온화한 식객_99498,4.7 ,저녁,2024.06.01,경험삼아 가봤는데 기대보다 더 맛있었어요😋  ,"3,065"
27,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,hanana_,5.0 ,점심,2024.05.13,정말 맛있고 새로운 경험이었어요 친구랑 갔다가 너무 맛있어서 일주일만에 남편도 데려갔습니다. 밥이 너무 맛있고 함바그는 더 맛있었어요  ,"3,065"
28,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,songdan****,5.0 ,점심,2024.06.05,최고의맛~  잘 먹었습니다~~~  ,"3,065"
29,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,저아세요,5.0 ,,2024.05.07,일본에 갔을 때 일정이 안맞아서 못갔는데 한국에 생겼다는말 듣고 신나서 방문했는데 너무 맛있네요 너무 맛있어서 생맥주를 2잔이나 주문했습니다 특히 홀에서 접객하시는 안경 쓰신 남자분 접객이 너무 좋아서 그 날 안좋은 일 있었는데도 먹기 전부터 기분이 좋아졌습니다 웨이팅 인원 변경을 2번이나 했는데도 내색하나 안하고 친절히 대해주셔서 인상에 남네요 너무 맛있어서 가까운 시일내에 또 방문할려고 합니다 여기 생맥주는 꼭 드세요 존맛입니다  ,"3,065"
